뉴스 제목,뉴스 링크,언론사,날짜
[중국 뉴스 브리핑] 2022년 11월 15일,http://kr.people.com.cn/n3/2022/1115/c208140-10171387.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 11일,http://kr.people.com.cn/n3/2022/1111/c208140-10170026.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 8일,http://kr.people.com.cn/n3/2022/1108/c208140-10168419.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 12월 14일,http://kr.people.com.cn/n3/2022/1214/c203201-10183798.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 7일,http://kr.people.com.cn/n3/2022/1107/c208140-10167795.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 4일,http://kr.people.com.cn/n3/2022/1104/c208140-10167099.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 12월 9일,http://kr.people.com.cn/n3/2022/1209/c203201-10181599.html,인민망,2022-12-30
'유통기한' 대신 '소비기한'...알아두면 유익한 새로운 법령 10가지,http://www.lifein.news/news/articleView.html?idxno=15049,라이프인,2022-12-30
[중국 뉴스 브리핑] 2022년 12월 7일,http://kr.people.com.cn/n3/2022/1207/c203201-10180523.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 2일,http://kr.people.com.cn/n3/2022/1102/c208140-10166221.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 1일,http://kr.people.com.cn/n3/2022/1101/c208140-10165804.html,인민망,2022-12-30
"[신년사] 김주현 금융위원장 ""시장 안정 최우선 과제""",http://www.seoulfn.com/news/articleView.html?idxno=476179,서울파이낸스,2022-12-30
"김주현 금융위원장, 새해 첫 마디도 '안정'",http://news.bizwatch.co.kr/article/finance/2022/12/30/0026,비즈니스워치언론사 선정,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 25일,http://kr.people.com.cn/n3/2022/1125/c208140-10176198.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 24일,http://kr.people.com.cn/n3/2022/1124/c208140-10175642.html,인민망,2022-12-30
[중국 뉴스 브리핑] 2022년 11월 23일,http://kr.people.com.cn/n3/2022/1123/c208140-10175064.html,인민망,2022-12-30
"스타이카 월렛, 사용자 중심의 서비스 개시",http://www.discoverynews.kr/news/articleView.html?idxno=933819,디스커버리뉴스,2022-12-30
이익잉여금 회계처리 오류와 부당사용 사례,http://www.hapt.co.kr/news/articleView.html?idxno=157593,한국아파트신문,2022-12-30
"[신년사] 김주현 금융위원장 ""최우선 정책과제…금융시장 안정""",https://www.asiatime.co.kr/article/20221230500305,아시아타임즈,2022-12-30
[신년사] 김주현 금융위원장 “금융시장 안정 확립 최우선”,https://www.ceoscoredaily.com/page/view/2022123015413459243,CEO스코어데일리,2022-12-30
"[신년사] 김주현 금융위원장, 내년 최우선 정책과제는 ‘금융시장 안정’",https://www.tfmedia.co.kr/news/article.html?no=137896,조세금융신문,2022-12-30
"김주현 금융위원장 ""고금리·고물가 고통 겪는 취약층 적극 지원""",http://www.wolyo.co.kr/news/articleView.html?idxno=218039,월요신문,2022-12-30
"컴투스그룹표 블록체인, FTX에 자금 묶인 투자자 구제 나섰다",https://www.news1.kr/articles/4910774,뉴스1,2022-12-30
"[2022년 IT 10대 뉴스] 테라-루나 사태부터 GPT, 망 이용료 분쟁까지",https://www.econovill.com/news/articleView.html?idxno=599156,이코노믹리뷰,2022-12-30
"[신년사] 김주현 금융위원장 ""불확실성 대응...조각투자·STO·코인 관리""",https://www.techm.kr/news/articleView.html?idxno=105295,테크M,2022-12-30
"[신년사] 김주현 금융위원장 ""부동산 시장 리스크 높아… LTV 완화 지속""",http://moneys.mt.co.kr/news/mwView.php?no=2022123015031153989,머니S,2022-12-30
"[신년사] 김주현 금융위원장 ""취약층 지원·금융시장 안정 최우선""",https://www.ekn.kr/web/view.php?key=20221230010006901,에너지경제,2022-12-30
[세상을 바꾸는 혁신기업] 거대한 차이를 만드는 작은 영웅들,http://www.fortunekorea.co.kr/news/articleView.html?idxno=25574,포춘코리아,2022-12-30
"[신년사] 김주현 금융위원장 ""금융시장 안정 최우선...규제는 과감히 완화""",http://www.pennmike.com/news/articleView.html?idxno=59683,펜앤드마이크,2022-12-30
김주현 금융위원장 “2023년 금융시장 안정과 위기 대응”,https://www.khan.co.kr/economy/finance/article/202212301433001,경향신문,2022-12-30
"바이든, '2140조' 美 2023년 예산안 서명…우크라 지원 등 포함",http://news.mt.co.kr/mtview.php?no=2022123014094199898,머니투데이,2022-12-30
"[신년사]김주현 금융위원장 ""취약계층 고금리 고통 도울 것""",http://www.newsis.com/view/?id=NISX20221230_0002142464&cID=10401&pID=10400,뉴시스,2022-12-30
"[2023 신년사] 김주현 금융위원장 ""최우선 과제는 금융시장 안정 확립""",http://www.newsprime.co.kr/news/article.html?no=589305,프라임경제,2022-12-30
"[신년사] 김주현""금융시장 안정 확립 최우선… 미래 성장 대비""",http://www.seoulwire.com/news/articleView.html?idxno=490696,서울와이어,2022-12-30
"[신년사] 김주현 금융위원장 ""새해 최우선 과제는 금융시장 안정""",http://news.tf.co.kr/read/economy/1989414.htm,더팩트,2022-12-30
"[신년사] 금융위원회 김주현 ""내년엔 금융시장 안정 최우선""[전문 포함]",http://www.joseilbo.com/news/news_read.php?uid=474835&class=18&grp=,조세일보언론사 선정,2022-12-30
"[신년사] 김주현 금융위원장 ""금융시장 안정 확립, 최우선 정책과제""",http://www.getnews.co.kr/news/articleView.html?idxno=611316,글로벌경제,2022-12-30
"경상국립대, 경남권 캡스톤 디자인 경진대회 대상·우수상·장려상 수상 [대학...",http://www.kukinews.com/newsView/kuk202212300068,쿠키뉴스,2022-12-30
‘코리아는 지금 잡코리아 중’ 광고에 구직러 호응..한달간 700만뷰 달성,http://kpenews.com/View.aspx?No=2675923,한국정경신문,2022-12-30
"[2023 신년사] 김주현 금융위원장 ""불안정한 거시경제 여건 대비해 금융시장 ...",https://www.ajunews.com/view/20221230131644534,아주경제,2022-12-30
"금융위원장 ""취약계층 지원·금융시장 안정이 새해 최우선 정책과제""",https://www.nocutnews.co.kr/news/5872436,노컷뉴스,2022-12-30
이제는 푼돈까지…북한 ‘김수키’ 해킹 사건 숨은 일인치,https://ilyo.co.kr/?ac=article_view&entry_id=443762,일요신문,2022-12-30
금융위원장 “금융시장 안정 최우선…LTV 완화 지속”,http://news.heraldcorp.com/view.php?ud=20221230000350,헤럴드경제,2022-12-30
"[신년사] 김주현 금융위원장 ""금융시장 안정 확립·위기 대응 최우선""",http://www.mediapen.com/news/view/782493,미디어펜,2022-12-30
새해 최대 보안 위협 ‘가상자산 해킹’… “당신의 코인 지갑이 위험”,https://biz.chosun.com/it-science/ict/2022/12/30/XLUCOHEMQRFHTJE7VQXMRS5Z4U/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈,2022-12-30
"경기도, 국내 최초 체납자 가상자산 추적 전자 관리 시스템 활용",http://www.dailyimpact.co.kr/news/articleView.html?idxno=90489,데일리임팩트,2022-12-30
2023년 꼭 알아둬야 할 법령 10가지,https://www.job-post.co.kr/news/articleView.html?idxno=66986,잡포스트,2022-12-30
[중국 뉴스 브리핑] 2022년 12월 30일,http://kr.people.com.cn/n3/2022/1230/c203201-10190152.html,인민망,2022-12-30
"김주현 금융위원장 ""금융시장 안정 확립, 새해 최우선 과제"" [신년사]",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202212300081&t=NN,한국경제TV,2022-12-30
"[2023 신년사] 김주현 금융위원장 ""금융시장 안정·위기 대응 최우선""",http://www.srtimes.kr/news/articleView.html?idxno=126819,SR타임스,2022-12-30
"[신년사] 김주현 금융위원장 ""변동성 확대, 안정 확립·위기 대응 총력""",https://www.ebn.co.kr/news/view/1561342/?sc=Naver,EBN,2022-12-30
김주현 금융위원장 “새해 최우선 과제는 금융시장 안정 확립”,https://biz.chosun.com/stock/finance/2022/12/30/DNVV52WJSJFF3EHL6A6SDTOGKU/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈,2022-12-30
[신년사] 김주현 금융위원장 “내년 금융시장 불확실성 지속...리스크 관리 강...,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202212301141579150098,대한경제,2022-12-30
"김주현 금융위원장 ""'금융시장 안정 확립' 주요 과제…금융규제 과감히 완화""",https://www.news1.kr/articles/4910599,뉴스1,2022-12-30
"[신년사]김주현 ""새해 최우선 과제는 금융시장 안정·위기 대응""",http://www.edaily.co.kr/news/newspath.asp?newsid=01787606632563768,이데일리,2022-12-30
"김주현 금융위원장 ""금융시장 안정 확립 최우선 과제, 취약계층 도울 것""",http://www.consumernews.co.kr/news/articleView.html?idxno=667484,소비자가 만드는 신문,2022-12-30
김주현 금융위원장 “시장안정조치 적극 집행…유동성 확보 지원”,https://biz.sbs.co.kr/article_hub/20000096147?division=NAVER,SBS Biz,2022-12-30
비트코인 채굴업자 도운 중국 공산당 간부 '유죄',https://www.khgames.co.kr/news/articleView.html?idxno=207519,경향게임스,2022-12-30
[신년사] 김주현 금융위원장 “금융기관 유동성 확보 지원…규제 유연화”,https://www.dailian.co.kr/news/view/1188537/?sc=Naver,데일리안,2022-12-30
[2023 사이버 위협 동향] ④가시성·통제 어려운 클라우드,http://www.datanet.co.kr/news/articleView.html?idxno=179728,데이터넷,2022-12-30
잡코리아 '코리아는 지금 잡코리아 중' 광고 700만 뷰 돌파,http://www.veritas-a.com/news/articleView.html?idxno=442743,베리타스알파,2022-12-30
"[유통가 레이더] '탄소중립 선언' CJ대한통운, 물류업계 최초 '기후변화 대응...",http://www.greened.kr/news/articleView.html?idxno=299884,녹색경제신문,2022-12-30
[2023 사이버 위협 동향] ③스마트시티도 위험하다,http://www.datanet.co.kr/news/articleView.html?idxno=179727,데이터넷,2022-12-30
"이지테크핀, '스타이카(STAIKA)' 암호화폐지갑 솔라나 네트워크로 앱 출시",http://www.gvalley.co.kr/news/articleView.html?idxno=607516,G밸리뉴스,2022-12-30
"잡코리아, '코리아는 지금 잡코리아 중' 광고 700만 돌파",http://www.shinailbo.co.kr/news/articleView.html?idxno=1643515,신아일보,2022-12-30
[Who Is ?] 윤석열 대통령,https://www.businesspost.co.kr/BP?command=article_view&num=302115,비즈니스포스트,2022-12-30
"FTX 재팬, 내년 2월 고객 자금 반환한다",https://www.tokenpost.kr/article-117684,토큰포스트,2022-12-30
"북, 여성·아이 내세워 유튜브로 선전…구글 ""정책 위반 아냐""",http://www.newsis.com/view/?id=NISX20221230_0002141935&cID=10301&pID=10300,뉴시스언론사 선정,2022-12-30
"관영매체까지 ""정보공개해라""…세계에 중국인 공포 키운 中",https://www.joongang.co.kr/article/25130040,중앙일보,2022-12-30
도시철도법 개정 1년째 '표류'…연령 인상 등 민감 사안은 여론 눈치,https://www.news1.kr/articles/4907352,뉴스1,2022-12-30
"EU, 중국 코로나 급증속 입국규제 완화에 공동대응 부심",https://www.yna.co.kr/view/AKR20221230000800082?input=1195m,연합뉴스언론사 선정,2022-12-30
살인 뒤 “‘큰 돈 상속받았다’ 뽐내”…피해자 메신저 사진도 교체,https://news.kbs.co.kr/news/view.do?ncd=6324218&ref=A,KBS,2022-12-30
"日 교수, 여대생 사칭한 이유가…""스토킹 제자 속마음 듣고 싶어서""",https://www.hankyung.com/international/article/2022122903087,한국경제,2022-12-30
"[전북의 창]전북, 특별자치도법으로 비상하라",http://sjbnews.com/news/news.php?number=767073,새전북신문,2022-12-29
[단독] 살인 뒤 “‘큰 돈 상속받았다’ 뽐내”…피해자 메신저 사진도 교체,https://news.kbs.co.kr/news/view.do?ncd=6323935&ref=A,KBS언론사 선정,2022-12-29
"""가구도 구독""…SK매직, 가전 이어 렌털 영역 확대",https://www.econovill.com/news/articleView.html?idxno=599088,이코노믹리뷰,2022-12-29
"경기도, 국내 최초로 비트코인 등 체납자 가상자산 추적 등에 전자 관리 시스...",http://www.joongboo.com/news/articleView.html?idxno=363572561,중부일보,2022-12-29
"클라우드 보안 기업 아스트론시큐리티, ICT기금사업 과기정통부 장관상 수상",http://www.boannews.com/media/view.asp?idx=113115&kind=,보안뉴스,2022-12-29
"금융·핀테크 업계, 자체 개발 캐릭터로 고객 접점 확대나서",http://www.enewstoday.co.kr/news/articleView.html?idxno=1626955,이뉴스투데이,2022-12-29
"신한라이프, 조직개편 및 경영진 인사 실시",http://www.newsfreezone.co.kr/news/articleView.html?idxno=434408,뉴스프리존,2022-12-29
"경기도, 국내 최초 가상자산 대상 체납처분 전자 관리 시스템 도입",http://www.lawissue.co.kr/view.php?ud=202212291658089883d94aa4ada6_12,로이슈,2022-12-29
[교육칼럼] 관계 회복은 권장이 아닌 필수로,http://www.incheonilbo.com/news/articleView.html?idxno=1176396,인천일보,2022-12-29
"[IT이슈] 당근마켓, 2022년 동네 가게 인기 검색어 TOP 10 공개 外",http://www.lawissue.co.kr/view.php?ud=202212291712219899204ead0791_12,로이슈,2022-12-29
"Sh수협은행, 조직개편 및 정기인사 단행",http://www.suhyupnews.co.kr/news/articleView.html?idxno=30005,어업IN수산,2022-12-29
[인사] 신한라이프 김범수 부사장 승진 外,http://www.meconomynews.com/news/articleView.html?idxno=73773,시장경제신문,2022-12-29
"""기술 풍요 막내리고 경기침체 따른 구조조정 잇따를 것",http://www.aitimes.com/news/articleView.html?idxno=148714,AI타임스,2022-12-29
"경기도, 조세 체납자 '가상 자산' 압류한다",http://www.incheonilbo.com/news/articleView.html?idxno=1176344,인천일보,2022-12-29
2023년 보안 위협은?...“랜섬웨어·사물인터넷·가상자산 주의해야”,https://byline.network/?p=9004111222491858,바이라인네트워크,2022-12-29
"GS리테일, 왜 신용등급 하향됐나...한기평 보고서 살펴보니",http://www.thevaluenews.co.kr/news/view.php?idx=173762,더밸류뉴스,2022-12-29
"2023년 개인정보위, 사각지대 없는 개인정보보호체계 구축과 보호·활용...",https://www.dailysecu.com/news/articleView.html?idxno=142468,데일리시큐,2022-12-29
"[2022 해외 10대뉴스]일론 머스크, 트위터 인수",https://www.etnews.com/20221229000133,전자신문,2022-12-29
"경기도, 체납자 비트코인 등 가상자산 추적ㆍ추심",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160290499402242,시민일보,2022-12-29
"[여의도25시] 與, 조직위원장 임명 놓고 비윤 솎아내기 논란",http://www.newsprime.co.kr/news/article.html?no=589201,프라임경제,2022-12-29
"김신영, 협박·노로 바이러스 이어 코로나19 확진",http://www.sportsseoul.com/news/read/1188372?ref=naver,스포츠서울,2022-12-29
"경기도, 체납자 가상자산 추적 체납·처분 관리 시스템 첫 도입",http://www.digitaltoday.co.kr/news/articleView.html?idxno=467506,디지털투데이,2022-12-29
"코웨이, 해외 안마의자 시장 첫 진출...새해 말레이시아에 출시",https://www.etnews.com/20221229000097,전자신문,2022-12-29
"경기도, 비트코인 등 체납자 가상자산 추적 ‘전자 관리 시스템’ 활용",http://www.newscj.com/article/20221229580322,천지일보,2022-12-29
"[유통산책] SK매직, 신세계까사와 생활구독 영역 넓힌다 外",http://www.g-enews.com/ko-kr/news/article/news_all/202212291447392182fd3ea9dd48_1/article.html,글로벌이코노믹,2022-12-29
경기도 '전자관리 시스템' 개발...체납처분 간편해진다,https://www.jeonmae.co.kr/news/articleView.html?idxno=932093,전국매일신문,2022-12-29
"""속마음 듣고싶었다""…여대생 사칭 제자 스토킹한 日교수, 정직 처분",https://www.news1.kr/articles/4909486,뉴스1,2022-12-29
[파워K-우먼]도전하기 두려울 땐 … 오늘이 마지막이라고 생각해,https://view.asiae.co.kr/article/2022122913524374036,아시아경제,2022-12-29
"비트코인으로 재산 숨켜도 소용없다…경기도, 가상자산 압류시스템 개발",https://www.ddaily.co.kr/news/article.html?no=254431,디지털데일리,2022-12-29
"경기도, 국내 최초 가상자산 체납자 추적 등 '전자 관리 시스템' 운영",http://www.g-enews.com/ko-kr/news/article/news_all/2022122911184141908fbfc802b3_1/article.html,글로벌이코노믹,2022-12-29
"경기도, 국내 최초 비트코인 등 체납자 가상자산 추적 등에 전자 관리 시스템...",http://www.econonews.co.kr/news/articleView.html?idxno=271988,이코노뉴스,2022-12-29
"경기도, 국내 최초 비트코인 등 체납자 가상자산 추적 등에 전자 관리 시스템...",http://www.m-i.kr/news/articleView.html?idxno=975906,매일일보,2022-12-29
"경기도, 체납자 가상자산 추적·압류 등 전자관리 시스템 첫 도입",https://news.kmib.co.kr/article/view.asp?arcid=0017815168&code=61121111&cp=nv,국민일보,2022-12-29
[테크칼럼] 사이버공격으로부터 파일 보호하는 스토리지 프로텍션 시스템 구축...,http://www.boannews.com/media/view.asp?idx=113106&kind=,보안뉴스,2022-12-29
"경기도, 체납자 가상자산 추적·압류·추심 등 '전자관리 시스템' 구축",https://www.pressian.com/pages/articles/2022122910401215348?utm_source=naver&utm_medium=search,프레시안,2022-12-29
"경기도, 체납자 가상자산 추적·압류 프로그램 개발",http://www.newsis.com/view/?id=NISX20221229_0002140713&cID=10803&pID=14000,뉴시스,2022-12-29
"경기도, 체납자 보유 비트코인 등 가상자산 추적 체계 운영",https://news.kbs.co.kr/news/view.do?ncd=6249757&ref=A,KBS,2022-12-29
"경기도, 체납자 가상자산 처분 절차 프로그램 관리 시스템 시범 운영 마쳐",http://www.thebigdata.co.kr/view.php?ud=2022122909323890932d2db879fd_23,빅데이터뉴스,2022-12-29
경기도 체납자 가상자산 추적에 전자관리 시스템 활용,https://daily.hankooki.com/news/articleView.html?idxno=909250,데일리한국,2022-12-29
"경기도, 전국 최초 '체납처분 전자관리시스템' 운영",http://www.sportsseoul.com/news/read/1188324?ref=naver,스포츠서울,2022-12-29
"경기도, 체납자 비트코인 등 가상자산 추적과 압류 및 추심 시스템으로 한 번...",http://www.suwonilbo.kr/news/articleView.html?idxno=300240,수원일보,2022-12-29
"경기도, 비트코인 등 체납자 가상자산 추적 전자관리시스템 첫 도입",https://www.tokenpost.kr/article-117617,토큰포스트,2022-12-29
"김동연, 비트코인 등 체납자 가상자산 추적에 전자관리 시스템 구축",https://www.kyeonggi.com/article/20221229580016,경기일보,2022-12-29
경기도 국내 최초 비트코인 추심 시스템 개발,http://www.edaily.co.kr/news/newspath.asp?newsid=01685926632563440,이데일리,2022-12-29
"김현 ""'송스타' 송중기, 고마운 배려…큰 산 같던 이성민"" [엑's 인터뷰②]",https://www.xportsnews.com/article/1670302,엑스포츠뉴스,2022-12-29
"경기도, 가상자산까지 추적하는 '전자관리 시스템' 내년 1월 도내 전역에서 활...",https://www.hankyung.com/society/article/202212298030h,한국경제,2022-12-29
"경기도, 국내 최로 체납자 비트코인 등 추적에 전자관리시스템 활용",http://www.ifm.kr/news/351380,경인방송,2022-12-29
"""사회 구성원의 정신건강까지 신경 써라""",https://www.the-pr.co.kr/news/articleView.html?idxno=49507,The PR Times,2022-12-29
"체납수단 활용됐던 가상화폐 이제 끝?...6개월 걸리던 추심, 15일로 단축",https://hankookilbo.com/News/Read/A2022122909030003173?did=NA,한국일보,2022-12-29
[2023 사이버 위협 동향] ②예측 불가 APT·국가기반 공격,http://www.datanet.co.kr/news/articleView.html?idxno=179679,데이터넷,2022-12-29
"경기도, 국내 최초 가상자산에 '체납처분 전자관리시스템' 도입",http://moneys.mt.co.kr/news/mwView.php?no=2022122908452269058,머니S,2022-12-29
"[인터뷰] 송종욱 광주은행장, 6년여 임기 마치고 12월 30일 퇴임",http://www.breaknews.com/940829,브레이크뉴스,2022-12-29
"경기도, 국내 최초 '체납자' 가상자산 추적 전자 관리 시스템 운용",http://www.upinews.kr/newsView/upi202212290002,UPI뉴스,2022-12-29
"경기도, 국내 최초 비트코인 등 체납자 가상자산 추적",http://news.heraldcorp.com/view.php?ud=20221229000037,헤럴드경제,2022-12-29
[2022 10대 뉴스-보험 ] 치솟는 금리에 보험사 RBC 비율 비상...흥국생명 '콜...,https://www.youthdaily.co.kr/news/article.html?no=117954,청년일보,2022-12-29
"[기로의상장사]노블엠앤비①, ‘5년 적자’ 투비소프트 CB와 자사 CB 교환",https://view.asiae.co.kr/article/2022122810020437215,아시아경제,2022-12-29
[2022결산⑧/가상자산] 무너진 신뢰…'크립토 윈터' 계속된다,http://www.digitaltoday.co.kr/news/articleView.html?idxno=467409,디지털투데이,2022-12-29
"경기도, 전국 최초 가상자산에 '체납처분 전자관리시스템' 도입",https://view.asiae.co.kr/article/2022122907123483329,아시아경제,2022-12-29
‘멸종된 코끼리’는 ‘파랑새’를 잡을 수 있나[테크트렌드],https://magazine.hankyung.com/business/article/202212210271b,한경비즈니스,2022-12-29
"'와우' 게임 철수에…""내 일자리 어쩌냐"" 中백수들 난리난 이유",https://www.joongang.co.kr/article/25129706,중앙일보,2022-12-29
"금감원 ""가상자산 보유 상장사 37곳...발행 코인은 9종""",http://www.digitaltoday.co.kr/news/articleView.html?idxno=467461,디지털투데이,2022-12-29
[외쿡신문] 챗GPT 등장에 구글 떨고 있나?,https://byline.network/?p=9004111222491806,바이라인네트워크,2022-12-29
"[산업 이모저모] LG전자 'UP가전', 내년부터 글로벌 확대 출시...""해외 브랜드...",http://www.greened.kr/news/articleView.html?idxno=299849,녹색경제신문,2022-12-29
`전북특별자치도특별법' 국회 통과,http://sjbnews.com/news/news.php?number=766930,새전북신문,2022-12-28
[인사] 신한은행·신한라이프·DGB금융지주 外,https://www.gokorea.kr/news/articleView.html?idxno=737095,공감신문,2022-12-28
[인사] 신한라이프,http://www.enewstoday.co.kr/news/articleView.html?idxno=1626629,이뉴스투데이,2022-12-28
"SK쉴더스, '2023 클라우드 보안 가이드' 발간",https://www.asiatoday.co.kr/view.php?key=20221228010014566,아시아투데이,2022-12-28
"국회, 5개 상임위원장 선출… 행안위 장제원-기재위 윤영석",https://www.straightnews.co.kr/news/articleView.html?idxno=222924,스트레이트뉴스,2022-12-28
[인사] 신한라이프,https://www.sisa-news.com/news/article.html?no=226368,시사뉴스,2022-12-28
[부산시교육청] 교육가족-시민에게 부산교육 홍보대사 추천 받는다 外,https://ilyo.co.kr/?ac=article_view&entry_id=443616,일요신문,2022-12-28
2023 금융권 클라우드 확대: [전자금융감독규정] 개정안의 의미와 과제,https://slownews.kr/87828,슬로우뉴스,2022-12-28
"한전채 한도 상향, 스토킹피해자보호법 국회 본회의 통과",https://www.khan.co.kr/politics/assembly/article/202212281829001,경향신문,2022-12-28
미국 진출 성공 사례로 보는 B2B 시장 동향 ①,http://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=180&CONTENTS_NO=1&bbsGbn=243&bbsSn=243&pNttSn=199358,KOTRA해외시장뉴스,2022-12-28
"바비톡·강남언니 후기 믿어도 될까…""후기 작성일까지 정해줘""",https://zdnet.co.kr/view/?no=20221228160724,ZDNet Korea,2022-12-28
"[SR인사] 신한라이프, 조직개편 및 인사단행",http://www.srtimes.kr/news/articleView.html?idxno=126702,SR타임스,2022-12-28
美 하원도 '틱톡 금지령'…中에 기밀정보 유출 우려,https://www.hankyung.com/international/article/2022122873181,한국경제,2022-12-28
[인사]감사원 外,https://www.foodneconomy.com/news/articleView.html?idxno=342730,푸드경제신문 organiclife,2022-12-28
<인사> 신한라이프,https://www.asiatoday.co.kr/view.php?key=20221228010014544,아시아투데이,2022-12-28
[인사] 감사원 외,https://hankookilbo.com/News/Read/A2022122817370003325?did=NA,한국일보,2022-12-28
"신한라이프, 2023년 조직개편 및 경영진 인사 실시",http://www.insnews.co.kr/design_php/news_view.php?num=72570&firstsec=1&secondsec=12,한국보험신문,2022-12-28
보험사 파생상품거래 한도 규제 폐지…보험계약 공시 의무화도,http://www.newsis.com/view/?id=NISX20221228_0002139918&cID=15001&pID=15000,뉴시스,2022-12-28
"신한라이프, 조직개편·경영진 인사...""40대 부사장·최초 여성임원""",http://www.biztribune.co.kr/news/articleView.html?idxno=272407,비즈트리뷴,2022-12-28
"부산교육청, 디지털 기반 교실 수업 지원 자료 보급",https://view.asiae.co.kr/article/2022122817093904877,아시아경제,2022-12-28
"신한라이프, 조직개편 및 인사 단행",http://www.newspost.kr/news/articleView.html?idxno=104656,뉴스포스트,2022-12-28
"SK쉴더스, '2023 클라우드 보안 가이드' 공개",http://www.shinailbo.co.kr/news/articleView.html?idxno=1642816,신아일보,2022-12-28
윤석열 정부 '문재인 케어 지우기' 현실화,https://www.dailymedi.com/news/news_view.php?wr_id=892624,데일리메디,2022-12-28
[중국 뉴스 브리핑] 2022년 12월 28일,http://kr.people.com.cn/n3/2022/1228/c203201-10189271.html,인민망,2022-12-28
"스튜디오 비사이드 박상연 총괄, 카운터사이드 자체 서비스 보상 역대급으로 ...",https://www.gamechosun.co.kr/webzine/article/view.php?no=191836,게임조선,2022-12-28
[인사]신한라이프,https://www.etnews.com/20221228000252,전자신문,2022-12-28
美 최악의 금융사기 FTX…'100만 집단소송' 가나,https://view.asiae.co.kr/article/2022122816262631409,아시아경제언론사 선정,2022-12-28
"신한라이프, '보험 경쟁력 강화'...조직개편 및 인사단행",https://www.ekn.kr/web/view.php?key=20221228010006358,에너지경제,2022-12-28
"신한라이프, 첫 여성임원 선임···임원 평균 연령 49세로 낮아져",https://www.womaneconomy.co.kr/news/articleView.html?idxno=214709,여성경제신문,2022-12-28
"SK쉴더스, '2023 클라우드 보안 가이드' 공개",http://www.itdaily.kr/news/articleView.html?idxno=212009,아이티데일리,2022-12-28
[인사] 신한라이프,http://www.newscape.co.kr/news/articleView.html?idxno=91874,뉴스케이프,2022-12-28
